epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.584,0.81692,2.13374,1.18929,0.79287,0.64127,0.80053,0.61231,0.76212,1.97103,1.22948,0.000411184,0.000411184,0.000411184
2,869.98,0.88582,1.44866,1.22567,0.67208,0.67385,0.72946,0.49648,1.04744,2.06676,1.55039,0.000800532,0.000800532,0.000800532
3,1486.72,0.94142,1.39551,1.27924,0.55927,0.60662,0.6284,0.36855,1.25755,2.54482,1.7967,0.00116238,0.00116238,0.00116238
4,2094.32,0.97958,1.32413,1.27786,0.88244,0.71678,0.8533,0.61434,0.97117,1.41763,1.42666,0.00112625,0.00112625,0.00112625
5,2707.85,0.93306,1.21314,1.24978,0.82353,0.85934,0.90094,0.63041,0.99555,1.2333,1.41724,0.001085,0.001085,0.001085
6,3320.94,0.90743,1.12701,1.22915,0.90003,0.82768,0.92225,0.6979,0.89734,1.05113,1.33381,0.00104375,0.00104375,0.00104375
7,3924.4,0.88128,1.07271,1.22395,0.83373,0.80598,0.91622,0.72126,0.77911,1.11133,1.23531,0.0010025,0.0010025,0.0010025
8,4266.71,0.8819,1.01228,1.20872,0.85924,0.84404,0.90633,0.67928,0.86955,1.00577,1.29529,0.00096125,0.00096125,0.00096125
9,4598.32,0.84659,0.9376,1.18921,0.93283,0.82633,0.93212,0.71612,0.80235,0.85122,1.24466,0.00092,0.00092,0.00092
10,11639,0.82981,0.89348,1.18982,0.90374,0.84185,0.92742,0.72846,0.76726,0.85124,1.22878,0.00087875,0.00087875,0.00087875
11,20584.6,0.80618,0.86777,1.16859,0.93536,0.83677,0.91636,0.72859,0.80278,0.81437,1.2435,0.0008375,0.0008375,0.0008375
12,24024.8,0.79496,0.8485,1.15917,0.84393,0.84556,0.9037,0.70165,0.78995,0.82918,1.25564,0.00079625,0.00079625,0.00079625
13,36097.2,0.76931,0.78945,1.14311,0.93555,0.86123,0.94109,0.75886,0.73696,0.67921,1.202,0.000755,0.000755,0.000755
14,36639.3,0.74642,0.75079,1.12052,0.85328,0.80239,0.89246,0.69501,0.82635,0.91304,1.27005,0.00071375,0.00071375,0.00071375
15,36979,0.77365,0.7704,1.15243,0.89205,0.91374,0.94536,0.7757,0.68844,0.6167,1.14559,0.0006725,0.0006725,0.0006725
16,37317,0.73079,0.73545,1.12194,0.95126,0.85104,0.94972,0.77563,0.71086,0.63578,1.16881,0.00063125,0.00063125,0.00063125
17,37655.7,0.71004,0.68737,1.10859,0.94156,0.88972,0.9582,0.7989,0.63821,0.57876,1.11283,0.00059,0.00059,0.00059
18,37988.4,0.72014,0.66922,1.11415,0.91552,0.89723,0.94403,0.77505,0.69226,0.6053,1.16544,0.00054875,0.00054875,0.00054875
19,41818.3,0.69247,0.65806,1.09713,0.91202,0.89681,0.94796,0.79645,0.64243,0.58517,1.11358,0.0005075,0.0005075,0.0005075
20,53688.7,0.68721,0.64534,1.0936,0.96154,0.92307,0.96317,0.79759,0.63861,0.54078,1.11649,0.00046625,0.00046625,0.00046625
21,54301.6,0.60241,0.5703,1.03625,0.90381,0.91185,0.95613,0.7913,0.67413,0.57725,1.14253,0.000425,0.000425,0.000425
22,54902,0.60012,0.50925,1.04281,0.92037,0.9082,0.94679,0.79108,0.61974,0.57722,1.09674,0.00038375,0.00038375,0.00038375
23,55515,0.56806,0.47699,1.01801,0.9475,0.87811,0.9522,0.81205,0.60839,0.57212,1.08542,0.0003425,0.0003425,0.0003425
24,56117.2,0.55765,0.45649,1.00284,0.90757,0.90102,0.94669,0.78889,0.60895,0.60062,1.07533,0.00030125,0.00030125,0.00030125
25,56663,0.5354,0.44796,0.99666,0.93505,0.90515,0.9531,0.81525,0.59306,0.51591,1.06352,0.00026,0.00026,0.00026
26,57281.8,0.5227,0.42398,0.97514,0.92068,0.91159,0.9519,0.81635,0.57927,0.5048,1.06127,0.00021875,0.00021875,0.00021875
27,58425.6,0.50205,0.40229,0.96061,0.94871,0.91159,0.95824,0.8213,0.58449,0.47731,1.06601,0.0001775,0.0001775,0.0001775
28,59058,0.49846,0.39317,0.96033,0.95355,0.91067,0.95844,0.82924,0.57776,0.48888,1.05999,0.00013625,0.00013625,0.00013625
29,59543.4,0.4947,0.38625,0.95454,0.95217,0.91792,0.95911,0.83611,0.54289,0.46104,1.03095,9.5e-05,9.5e-05,9.5e-05
30,60790.1,0.47199,0.36751,0.95104,0.93866,0.90514,0.95749,0.83507,0.55553,0.4632,1.04495,5.375e-05,5.375e-05,5.375e-05
